cnt,time,temp,dew
1,2023-10-06 19:19:24,26.238,29.1648
2,2023-10-06 19:19:30,26.237,29.1698
3,2023-10-06 19:19:36,26.234,29.1763
4,2023-10-06 19:19:42,26.234,29.1735
5,2023-10-06 19:19:48,26.232,29.1653
6,2023-10-06 19:19:54,26.232,29.166
7,2023-10-06 19:20:00,26.232,29.1672
8,2023-10-06 19:20:06,26.232,29.1646
9,2023-10-06 19:20:12,26.233,29.1633
10,2023-10-06 19:20:18,26.234,29.1658
11,2023-10-06 19:20:24,26.234,29.1646
12,2023-10-06 19:20:30,26.237,29.1741
13,2023-10-06 19:20:36,26.238,29.1715
14,2023-10-06 19:20:42,26.24,29.1691
15,2023-10-06 19:20:48,26.243,29.1631
16,2023-10-06 19:20:54,26.246,29.1737
17,2023-10-06 19:21:00,26.249,29.1718
18,2023-10-06 19:21:06,26.253,29.1637
